"Label","Type","Tags","Description","Data de início","Fonte da informação","Fonte da informação-URL"
"CE/SC nº 25-032","Rules","Condição especial","Condição Especial Aplicável à Instalação do Enhanced Flight Vision System (EFVS). / Special Condition for the Installation of the Enhanced Flight Vision System (EFVS).","29/04/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-no-25-032@@download/arquivo_norma/CE SC 25-032.pdf"
"CE/SC nº 25-033","Rules","Condição especial","Condição Especial Aplicável a Assentos Orientados Lateralmente com a Incorporação de Sistemas de Airbag. / Special Condition for Side Facing Seats with Airbag Systems.","01/07/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-no-25-033@@download/arquivo_norma/CE SC 25-033.pdf"
"CE/SC nº 25-034","Rules","Condição especial","Condição Especial Aplicável ao Synthetic Vision System (SVS) e ao Enhanced Flight Vision System (EFVS) no Head Up Display (HUD). / Special Condition for the Synthetic Vision System (SVS) and Enhanced Flight Vision System (EFVS) on Head Up Display (HUD).","01/07/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-no-25-034@@download/arquivo_norma/CE SC 25-034.pdf"
"CE/SC nº 25-035","Rules","Condição especial","Condição Especial Aplicável ao Uso do Sistema ATTCS para Arremetida. / Special Condition for Using ATTCS System in Go-Around.","26/08/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-no-25-035@@download/arquivo_norma/CE SC 25-035.pdf"
"CE/SC nº 25-036","Rules","Condição especial","Condição Especial aplicável à recuperação de manobra por um sistema automático de voo com uma instalação de um sistema protetor de alta velocidade incorporado nas leis de controle de voo. / Special Condition for Maneuver Recovery by an Automatic Flight System with a High Speed Protection System Incorporated in Flight Control Laws.","09/09/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-no-25-036@@download/arquivo_norma/CE SC 25-036.pdf"
"CE/SC nº 25-037","Rules","Condição especial","Condição Especial aplicável às cargas de torque limite durante parada súbita de motor e APU. / Special Condition for Sudden APU and Engine Stoppage.","09/09/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-no-25-037@@download/arquivo_norma/CE SC 25-037.pdf"
"CE/SC nº 25-038","Rules","Condição especial","Condição Especial aplicável ao sistema de geração e distribuição de energia elétrica. / Special Condition for Electrical Power Generation and Distribution System.","09/09/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-25-038@@download/arquivo_norma/CE SC 25-038.pdf"
"CE/SC n° 25-039","Rules","Condição especial","Condição Especial Aplicável ao Uso de Grandes Painéis não Tradicionais e não Metálicos Integrados à Estrutura dos Assentos de Passageiros. / Special Condition for Use of Non-Traditional, Large, Non-Metallic Panels Assembled to Seat Passenger Structures.","23/09/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-ndeg-25-039@@download/arquivo_norma/CE SC 25-039 - Retificado.pdf"
"CE/SC n° 25-040","Rules","Condição especial","Condição Especial Aplicável à Proteção dos Sistemas Eletrônicos contra Acessos Externos não Autorizados. / Special Condition for Electronic Systems Protection from Unauthorized External Access.","20/09/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-ndeg-25-040@@download/arquivo_norma/CE SC 25-040.pdf"
"CE/SC n° 25-041","Rules","Condição especial","Condição Especial Aplicável à Proteção dos Sistemas Eletrônicos contra Acessos Internos não Autorizados. / Special Condition for Electronic Systems Protection from Unauthorized Internal Access.","20/09/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/cesc-condicao-especial/ce-sc-25-041@@download/arquivo_norma/CE SC 25-041.pdf"
