CIAD,Uso,Código OACI,Nome,Município,UF,Município Servido,UF Servido,longitude,latitude,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,AntesLongitude,AntesLatitude
AC0001,Público,SBRB,Plácido de Castro,RIO BRANCO,Acre,Rio Branco,Acre,-67.8980555555600,-9.86833333333333,"193,00",VFR / IFR - CAT I,VFR / IFR - CAT I,06/24,"2.158,00","45,00",78/F/D/X/T,Asfalto,,,,,,Cadastrado,23/08/2028,PA2018-2577,https://pergamum.anac.gov.br/arquivos/PA2018-2577.pdf,"067°53'53.0W""","09°52'06.0S"""
AC0002,Público,SBCZ,Cruzeiro do Sul / Cruzeiro do Sul - Internacional,CRUZEIRO DO SUL,Acre,Cruzeiro do Sul,Acre,-72.7694444444400,-7.59944444444444,"194,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,10/28,"2.400,00","45,00",32/F/A/X/T,Asfalto,,,,,,Cadastrado,19/03/2024,PA2014-0630,https://pergamum.anac.gov.br/arquivos/PA2014-0630.pdf,"072°46'10.0W""","07°35'58.0S"""
AC0003,Público,SNOU,Novo Aeródromo de Feijó,FEIJÓ,Acre,Feijó,Acre,-70.3408333333300,-8.14138888888889,"168,00",VFR,Sem Operação,03/21,"1.200,00","24,00",5500 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1089,https://pergamum.anac.gov.br/arquivos/PA2020-1089.pdf,"070°20'27.0W""","08°08'29.0S"""
AC0004,Público,SBTK,Tarauacá,TARAUACÁ,Acre,Tarauacá,Acre,-70.7827777777800,-8.15472222222222,"197,00",VFR,Sem Operação,14/32,"1.130,00","14,00",5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,,PA2006-0657,https://pergamum.anac.gov.br/arquivos/PA2006-0657.pdf,"070°46'58.0W""","08°09'17.0S"""
AC0005,Privado,,Xapuri,XAPURI,Acre,,,-68.4861111111100,-10.6633333333333,"183,00",VFR,Sem Operação,17/35,"750,00","20,00",8/F/B/Y/U,Asfalto,,,,,,,09/03/2031,PA2021-4380,https://pergamum.anac.gov.br/arquivos/PA2021-4380.pdf,"068°29'10.0W""","10°39'48.0S"""
AC0006,Privado,SDNQ,Fazenda Água Limpa,SENADOR GUIOMARD,Acre,,,-67.4911111111100,-9.98055555555556,"197,00",VFR,VFR,11/29,"950,00","18,00",8/F/B/Y/U,Asfalto,,,,,,,05/10/2021,PA2017-1116,https://pergamum.anac.gov.br/arquivos/PA2017-1116.pdf,"067°29'28.0W""","09°58'50.0S"""
AC0007,Privado,SIMB,Manuel Urbano,MANOEL URBANO,Acre,,,-69.2663888888900,-8.84916666666667,"162,00",VFR,Sem Operação,02/20,"900,00","18,00",31/F/A/X/T,Asfalto,,,,,,,23/10/2024,PA2014-2469,https://pergamum.anac.gov.br/arquivos/PA2014-2469.pdf,"069°15'59.0W""","08°50'57.0S"""
AC0009,Privado,SJOD,Jordão,JORDÃO,Acre,,,-71.9469444444400,-9.19027777777778,"365,00",VFR,Sem Operação,13/31,"900,00","18,00",3970 Kg / 0.50 MPa,Asfalto,,,,,,,28/10/2024,PA2014-2747,https://pergamum.anac.gov.br/arquivos/PA2014-2747.pdf,"071°56'49.0W""","09°11'25.0S"""
AC0011,Privado,SSRA,Santa Rosa do Purus,SANTA ROSA DO PURUS,Acre,,,-70.4827777777800,-9.44638888888889,"229,00",VFR,Sem Operação,17/35,"1.100,00","23,00",31/F/A/X/T,Grama,,,,,,,23/10/2024,PA2014-2467,https://pergamum.anac.gov.br/arquivos/PA2014-2467.pdf,"070°28'58.0W""","09°26'47.0S"""
AC0012,Privado,SWNC,Fazenda Nictheroy,SENADOR GUIOMARD,Acre,,,-67.6980555555600,-10.2675,"213,00",VFR,Sem Operação,01/19,"1.300,00","23,00",3000 Kg / 0.50 MPa,Grama,,,,,,,04/11/2023,PA2016-1282,https://pergamum.anac.gov.br/arquivos/PA2016-1282.pdf,"067°41'53.0W""","10°16'03.0S"""
AC0013,Privado,SWHJ,Fazenda Santa Lúcia,BRASILÉIA,Acre,,,-69.1988888888900,-10.7463888888889,"291,00",VFR,Sem Operação,17/35,"410,00","18,00",5700 Kg / 0.50 MPa,Grama,,,,,,,26/12/2028,PA2018-3873,https://pergamum.anac.gov.br/arquivos/PA2018-3873.pdf,"069°11'56.0W""","10°44'47.0S"""
AC0019,Privado,,Fazenda Filipinas,EPITACIOLÂNDIA,Acre,,,-68.5694444444400,-10.7830555555556,"210,00",VFR,Sem Operação,06/24,"700,00","18,00",5700 Kg / 0.50 MPa,Terra,,,,,,,30/03/2031,PA2021-4595,https://pergamum.anac.gov.br/arquivos/PA2021-4595.pdf,"068°34'10.0W""","10°46'59.0S"""
AL0001,Público,SBMO,Zumbi dos Palmares,MACEIÓ,Alagoas,Maceió,Alagoas,-35.7836111111100,-9.51722222222222,"118,00",VFR / IFR - CAT I,VFR / IFR - CAT I,12/30,"2.602,00","45,00",46/F/A/X/T,Asfalto,,,,,,Cadastrado,,PD2006-0362,https://pergamum.anac.gov.br/arquivos/PD2006-0362.pdf,"035°47'01.0W""","09°31'02.0S"""
AL0003,Público,SNAL,Arapiraca,ARAPIRACA,Alagoas,Arapiraca,Alagoas,-36.6305555555600,-9.77638888888889,"270,00",VFR,VFR,10/28,"930,00","18,00",13/F/B/Y/T,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1073,https://pergamum.anac.gov.br/arquivos/PA2020-1073.pdf,"036°37'50.0W""","09°46'35.0S"""
AL0004,Privado,SIQX,Fazenda São Braz,BARRA DE SANTO ANTÔNIO,Alagoas,,,-35.5400000000000,-9.37305555555556,"50,00",VFR,Sem Operação,12/30,"565,00","18,00",6/F/B/W/T,Asfalto,,,,,,,30/10/2025,PA2016-2697,https://pergamum.anac.gov.br/arquivos/PA2016-2697.pdf,"035°32'24.0W""","09°22'23.0S"""
AL0005,Privado,SJPO,Xingó,PIRANHAS,Alagoas,,,-37.7775000000000,-9.58805555555556,"238,00",VFR,Sem Operação,16/34,"935,00","28,00",5600 Kg / 0.50 MPa,Terra,,,,,,,,,,"037°46'39.0W""","09°35'17.0S"""
AL0006,Privado,SNCY,Campo da Praia,CORURIPE,Alagoas,,,-36.2852777777800,-10.2227777777778,"42,00",VFR,Sem Operação,15/33,"700,00","18,00",3000 Kg / 0.50 MPa,Piçarra,,,,,,,16/10/2022,PA2017-3220,https://pergamum.anac.gov.br/arquivos/PA2017-3220.pdf,"036°17'07.0W""","10°13'22.0S"""
AL0007,Privado,SNDX,Cachoeira,CORURIPE,Alagoas,,,-36.3258333333300,-10.0405555555556,"105,00",VFR,Sem Operação,16/34,"800,00","20,00",4000 Kg / 0.50 MPa,Piçarra,,,,,,,11/01/2022,PA2017-2415,https://pergamum.anac.gov.br/arquivos/PA2017-2415.pdf,"036°19'33.0W""","10°02'26.0S"""
